scheme,model,run_tag,l_bits,group_bits,user_bits,num_prompts,num_attack_variants_per_prompt,total_attack_results,random_seed,generated_utc,deletion_percent,deletion_mode,num_results,group_accuracy,user_accuracy,full_identity_accuracy,false_positive_rate,false_negative_rate,avg_invalid_symbols,avg_hamming_distance,avg_z_score
hierarchical,gpt2,job_7963207,8,5.0,3.0,300,16,4800,1083191519,2025-12-21T15:30:04.112811Z,0.2,end,300,0.89,0.9363295880149812,0.8333333333333334,0.08,0.08666666666666667,1.0166666666666666,0.0,5.86304714613435
hierarchical,gpt2,job_7963207,8,5.0,3.0,300,16,4800,1083191519,2025-12-21T15:30:04.112811Z,0.2,middle,300,0.8833333333333333,0.909433962264151,0.8033333333333333,0.1,0.09666666666666666,1.1033333333333333,0.0,5.807101771020602
hierarchical,gpt2,job_7963207,8,5.0,3.0,300,16,4800,1083191519,2025-12-21T15:30:04.112811Z,0.2,random,300,0.016666666666666666,0.0,0.0,0.023333333333333334,0.9766666666666667,7.69,0.0,2.022183693973456
hierarchical,gpt2,job_7963207,8,5.0,3.0,300,16,4800,1083191519,2025-12-21T15:30:04.112811Z,0.2,start,300,0.8933333333333333,0.9477611940298507,0.8466666666666667,0.08,0.07333333333333333,0.8066666666666666,0.0,6.228462916282522
hierarchical,gpt2,job_7963207,8,6.0,2.0,300,16,4800,1099453783,2025-12-21T20:09:12.338916Z,0.05,end,300,0.9366666666666666,0.9857651245551602,0.9233333333333333,0.03666666666666667,0.04,0.48,0.0,6.782290283719884
hierarchical,gpt2,job_7963207,8,6.0,2.0,300,16,4800,1099453783,2025-12-21T20:09:12.338916Z,0.05,middle,300,0.9266666666666666,0.9820143884892086,0.91,0.04666666666666667,0.043333333333333335,0.5,0.0,6.703756109066676
hierarchical,gpt2,job_7963207,8,6.0,2.0,300,16,4800,1099453783,2025-12-21T20:09:12.338916Z,0.05,random,300,0.8266666666666667,0.907258064516129,0.75,0.15,0.1,1.3466666666666667,0.0,5.268816632581541
hierarchical,gpt2,job_7963207,8,6.0,2.0,300,16,4800,1099453783,2025-12-21T20:09:12.338916Z,0.05,start,300,0.94,0.9822695035460993,0.9233333333333333,0.043333333333333335,0.03333333333333333,0.45,0.0,6.992868127800833
hierarchical,gpt2,job_7963207,8,6.0,2.0,300,16,4800,1099453783,2025-12-21T20:09:12.338916Z,0.1,end,300,0.9266666666666666,0.9856115107913669,0.9133333333333333,0.043333333333333335,0.043333333333333335,0.5533333333333333,0.0,6.5822725698834725
hierarchical,gpt2,job_7963207,8,6.0,2.0,300,16,4800,1099453783,2025-12-21T20:09:12.338916Z,0.1,middle,300,0.92,0.9710144927536232,0.8933333333333333,0.05,0.056666666666666664,0.5966666666666667,0.0,6.506657901290476
hierarchical,gpt2,job_7963207,8,6.0,2.0,300,16,4800,1099453783,2025-12-21T20:09:12.338916Z,0.1,random,300,0.36666666666666664,0.6272727272727273,0.23,0.45666666666666667,0.31333333333333335,4.12,0.0,3.9232674290095626
hierarchical,gpt2,job_7963207,8,6.0,2.0,300,16,4800,1099453783,2025-12-21T20:09:12.338916Z,0.1,start,300,0.9433333333333334,0.9823321554770318,0.9266666666666666,0.043333333333333335,0.03,0.45666666666666667,0.0,6.8691488643957355
hierarchical,gpt2,job_7963207,8,6.0,2.0,300,16,4800,1099453783,2025-12-21T20:09:12.338916Z,0.15,end,300,0.92,0.9782608695652174,0.9,0.05333333333333334,0.04666666666666667,0.62,0.0,6.370812453292871
hierarchical,gpt2,job_7963207,8,6.0,2.0,300,16,4800,1099453783,2025-12-21T20:09:12.338916Z,0.15,middle,300,0.9166666666666666,0.96,0.88,0.06333333333333334,0.056666666666666664,0.6833333333333333,0.0,6.293223244008431
